customer_id,signup_date,location
C00001,2024-02-05,Manila
C00002,2024-11-05,Cavite
C00003,2024-09-18,Davao
C00004,2024-06-24,Cavite
C00005,2024-06-22,Davao
C00006,2024-12-09,Cavite
C00007,2024-02-04,Cebu
C00008,2024-10-05,Davao
C00009,2024-03-21,Cebu
C00010,2024-02-07,Davao
C00011,2024-07-29,Cebu
C00012,2025-01-25,Davao
C00013,2024-10-21,Cavite
C00014,2024-10-31,Manila
C00015,2024-10-13,Laguna
C00016,2024-11-10,Cavite
C00017,2024-07-24,Manila
C00018,2024-02-21,Laguna
C00019,2024-12-01,Davao
C00020,2024-06-29,Laguna
C00021,2024-07-19,Cebu
C00022,2024-05-28,Cebu
C00023,2024-03-14,Cebu
C00024,2025-01-05,Manila
C00025,2024-11-08,Davao
C00026,2024-09-14,Cavite
C00027,2024-06-09,Laguna
C00028,2024-11-25,Manila
C00029,2024-08-06,Davao
C00030,2024-06-26,Manila
C00031,2024-06-29,Manila
C00032,2024-03-31,Laguna
C00033,2024-02-06,Cebu
C00034,2024-08-09,Laguna
C00035,2024-12-21,Manila
C00036,2024-01-26,Manila
C00037,2024-12-09,Laguna
C00038,2024-11-27,Cebu
C00039,2024-04-20,Manila
C00040,2024-09-09,Laguna
C00041,2024-03-07,Laguna
C00042,2024-10-30,Cavite
C00043,2024-10-07,Davao
C00044,2024-05-21,Davao
C00045,2024-01-28,Laguna
C00046,2025-01-23,Laguna
C00047,2024-06-27,Laguna
C00048,2024-12-23,Cebu
C00049,2024-09-28,Cavite
C00050,2024-11-07,Laguna
C00051,2024-10-30,Cavite
C00052,2024-03-18,Davao
C00053,2024-05-25,Davao
C00054,2024-07-05,Cavite
C00055,2024-07-18,Laguna
C00056,2024-01-18,Laguna
C00057,2024-08-06,Cavite
C00058,2024-03-02,Cebu
C00059,2024-10-24,Manila
C00060,2024-09-30,Manila
C00061,2025-01-04,Davao
C00062,2024-10-24,Cavite
C00063,2024-05-26,Cavite
C00064,2025-01-22,Manila
C00065,2024-06-13,Manila
C00066,2024-05-10,Laguna
C00067,2024-12-28,Cebu
C00068,2024-05-28,Davao
C00069,2024-01-31,Manila
C00070,2024-07-06,Manila
C00071,2024-11-14,Davao
C00072,2024-03-16,Laguna
C00073,2024-07-04,Cavite
C00074,2024-02-21,Davao
C00075,2024-10-01,Laguna
C00076,2024-07-09,Cavite
C00077,2024-05-12,Davao
C00078,2024-03-31,Cebu
C00079,2024-08-13,Cavite
C00080,2024-09-24,Manila
C00081,2025-01-11,Cebu
C00082,2024-06-23,Manila
C00083,2024-03-05,Laguna
C00084,2024-11-29,Cebu
C00085,2024-09-08,Cebu
C00086,2024-10-07,Laguna
C00087,2024-02-08,Cebu
C00088,2024-05-04,Cebu
C00089,2024-11-03,Davao
C00090,2024-11-28,Manila
C00091,2024-06-23,Cavite
C00092,2024-11-17,Cavite
C00093,2024-12-02,Laguna
C00094,2024-06-03,Manila
C00095,2024-12-25,Davao
C00096,2024-04-25,Cebu
C00097,2024-04-05,Manila
C00098,2024-09-29,Cavite
C00099,2024-09-11,Davao
C00100,2024-02-25,Laguna
C00101,2024-11-29,Laguna
C00102,2024-03-20,Cebu
C00103,2024-11-17,Cebu
C00104,2024-01-03,Cavite
C00105,2024-11-14,Cavite
C00106,2024-11-10,Davao
C00107,2024-11-08,Davao
C00108,2024-09-22,Manila
C00109,2024-07-07,Cebu
C00110,2024-10-09,Manila
C00111,2024-04-20,Cavite
C00112,2024-11-08,Cavite
C00113,2024-08-10,Manila
C00114,2024-07-02,Cebu
C00115,2024-07-21,Cebu
C00116,2024-08-15,Cavite
C00117,2024-01-15,Davao
C00118,2024-02-25,Manila
C00119,2024-04-08,Davao
C00120,2024-02-15,Manila
C00121,2024-06-24,Laguna
C00122,2024-09-24,Cavite
C00123,2024-09-18,Manila
C00124,2024-07-07,Cavite
C00125,2024-12-08,Laguna
C00126,2024-08-14,Manila
C00127,2024-02-01,Cebu
C00128,2024-11-01,Manila
C00129,2024-08-17,Cavite
C00130,2024-09-10,Laguna
C00131,2024-08-14,Cebu
C00132,2024-08-09,Davao
C00133,2024-02-06,Cebu
C00134,2024-08-11,Davao
C00135,2024-11-13,Laguna
C00136,2024-05-01,Manila
C00137,2024-08-29,Laguna
C00138,2024-01-13,Cavite
C00139,2024-05-18,Cavite
C00140,2024-06-23,Manila
C00141,2025-01-28,Davao
C00142,2024-03-26,Cebu
C00143,2024-04-20,Laguna
C00144,2024-06-12,Cebu
C00145,2025-02-01,Cebu
C00146,2024-12-07,Manila
C00147,2024-01-14,Davao
C00148,2024-04-03,Davao
C00149,2024-11-24,Davao
C00150,2024-01-24,Cebu
C00151,2024-12-08,Laguna
C00152,2024-04-22,Laguna
C00153,2025-01-02,Manila
C00154,2024-04-27,Cebu
C00155,2024-06-22,Laguna
C00156,2024-09-21,Manila
C00157,2024-02-20,Cebu
C00158,2024-08-10,Cavite
C00159,2024-07-21,Davao
C00160,2024-11-09,Davao
C00161,2025-02-02,Laguna
C00162,2024-09-22,Cebu
C00163,2024-06-12,Cavite
C00164,2024-06-11,Manila
C00165,2024-06-16,Davao
C00166,2024-11-21,Davao
C00167,2024-05-08,Cebu
C00168,2024-03-07,Laguna
C00169,2024-05-13,Manila
C00170,2024-01-10,Laguna
C00171,2024-02-12,Laguna
C00172,2024-02-06,Laguna
C00173,2024-11-04,Cebu
C00174,2024-10-15,Manila
C00175,2024-10-05,Davao
C00176,2024-07-03,Cavite
C00177,2024-10-13,Laguna
C00178,2024-03-05,Cebu
C00179,2024-12-26,Davao
C00180,2024-07-19,Cebu
C00181,2025-01-10,Laguna
C00182,2024-03-01,Davao
C00183,2024-07-17,Davao
C00184,2024-10-05,Manila
C00185,2024-07-17,Laguna
C00186,2024-06-27,Davao
C00187,2024-03-07,Manila
C00188,2024-06-01,Manila
C00189,2024-04-05,Laguna
C00190,2024-04-30,Laguna
C00191,2024-09-30,Davao
C00192,2024-09-09,Laguna
C00193,2024-08-30,Laguna
C00194,2024-05-24,Laguna
C00195,2025-01-18,Cebu
C00196,2024-02-05,Davao
C00197,2024-05-17,Cavite
C00198,2024-02-17,Cebu
C00199,2024-05-15,Laguna
C00200,2025-01-19,Cavite
C00201,2024-05-26,Davao
C00202,2024-12-29,Davao
C00203,2024-07-17,Manila
C00204,2024-10-06,Davao
C00205,2024-07-01,Manila
C00206,2024-04-16,Manila
C00207,2024-11-01,Davao
C00208,2025-01-22,Cebu
C00209,2024-04-15,Cebu
C00210,2024-11-07,Cebu
C00211,2024-04-14,Davao
C00212,2024-10-13,Laguna
C00213,2024-11-11,Davao
C00214,2024-06-28,Cavite
C00215,2024-10-21,Davao
C00216,2024-04-18,Cavite
C00217,2024-02-01,Cavite
C00218,2024-02-08,Davao
C00219,2024-06-27,Laguna
C00220,2024-12-27,Davao
C00221,2024-02-21,Cavite
C00222,2024-07-01,Laguna
C00223,2024-10-08,Cebu
C00224,2024-03-21,Cebu
C00225,2024-10-15,Cavite
C00226,2024-05-02,Davao
C00227,2024-11-19,Laguna
C00228,2024-08-19,Laguna
C00229,2024-08-06,Manila
C00230,2024-03-11,Cebu
C00231,2024-07-04,Cavite
C00232,2024-12-08,Cebu
C00233,2024-01-08,Cavite
C00234,2024-10-30,Cebu
C00235,2024-07-16,Cavite
C00236,2024-10-14,Davao
C00237,2024-09-22,Manila
C00238,2024-06-21,Cebu
C00239,2024-05-03,Cavite
C00240,2024-09-07,Cebu
C00241,2024-02-26,Cebu
C00242,2024-08-21,Manila
C00243,2024-02-07,Laguna
C00244,2024-09-16,Cavite
C00245,2024-09-08,Cavite
C00246,2024-02-03,Cavite
C00247,2024-10-29,Cavite
C00248,2024-06-15,Cavite
C00249,2024-11-10,Davao
C00250,2024-01-17,Cavite
C00251,2024-03-12,Laguna
C00252,2024-07-16,Manila
C00253,2024-03-16,Manila
C00254,2024-05-11,Manila
C00255,2024-09-21,Cebu
C00256,2024-02-27,Davao
C00257,2024-09-28,Laguna
C00258,2024-02-11,Davao
C00259,2024-03-11,Cebu
C00260,2024-08-23,Laguna
C00261,2024-11-13,Cavite
C00262,2024-03-09,Cebu
C00263,2024-04-29,Cebu
C00264,2025-01-05,Cavite
C00265,2025-01-30,Cavite
C00266,2024-08-20,Cebu
C00267,2024-06-27,Davao
